x,y,z,resistivity,chargeability
510571,459017,583,89.42,21.31
510571,459017,583,235.04,21.03
510571,459017,583,387.7,19.9
510571,459017,583,1519.29,14.07
510571,459017,583,1787.61,16.21
510571,459017,583,916.39,15.64
510571,459017,583,216.67,14.54
510571,459017,583,67.65,19.14
510571,459017,583,89.53,21.99
510571,459017,583,234.66,21.06
510571,459017,583,1519.61,14.19
510571,459017,583,917.07,15.59
510571,459017,583,311.12,10.39
510571,459017,583,89.35,21.78
510571,459017,583,234.34,21.17
510571,459017,583,387.06,19.54
510571,459017,583,474.61,15.92
510571,459017,583,216.3,15.68
510625,459011,582,76.77,18.72
510625,459011,582,264.73,15.06
510625,459011,582,285.36,11.7
510625,459011,582,199.15,16.71
510625,459011,582,327.66,19.58
510625,459011,582,76.74,18.71
510625,459011,582,157.7,22.36
510625,459011,582,289.14,20.97
510625,459011,582,1205.79,16.78
510625,459011,582,198.86,17.63
510625,459011,582,327.08,18.57
510676,459019,581,933.19,15.46
510676,459019,581,239.01,14.79
510676,459019,581,274.74,11.82
510676,459019,581,193.35,20.74
510676,459019,581,933.1,15.47
510676,459019,581,362.47,17.27
510676,459019,581,275.4,14.84
510676,459019,581,289.93,18.92
510721,459023,578,117.6,22.38
510721,459023,578,292.11,17.77
510721,459023,578,172.93,18.89
510721,459023,578,242.17,20.26
510721,459023,578,290.1,19.0
510721,459023,578,601.81,15.98
510721,459023,578,291.9,17.2
510721,459023,578,198.59,15.03
510721,459023,578,246.26,14.38
510721,459023,578,452.74,20.73
510770,459017,575,882.45,16.72
510770,459017,575,318.13,16.57
510770,459017,575,216.61,14.0
510770,459017,575,288.27,13.93
510770,459017,575,238.04,18.86
510770,459017,575,721.58,21.36
510821,459023,568,902.62,14.46
510821,459023,568,355.38,15.2
510821,459023,568,238.58,16.74
510821,459023,568,456.18,20.17
510821,459023,568,265.27,15.82
510821,459023,568,86.68,9.59
510870,459019,576,1193.21,13.05
510870,459019,576,655.28,12.1
510870,459019,576,885.45,16.65
510870,459019,576,712.1,13.3
510870,459019,576,499.17,12.15
510870,459019,576,567.72,13.43
510921,459019,583,609.95,10.68
510921,459019,583,713.7,11.94
510921,459019,583,1025.75,16.7
510921,459019,583,1027.75,16.8
510921,459019,583,950.19,13.74
510921,459019,583,1247.04,14.76
510921,459019,583,609.96,10.67
510921,459019,583,713.79,11.97
510921,459019,583,619.15,12.66
