x,y,z,resistivity,chargeability
509806.8311880064,453985.03865186864,572.1247391940525,453956803.459228,95.69564894290889
505531.39378491044,458834.38184958545,555.0269546198512,621992515.8766778,72.66408335619383
503806.37220271525,453753.2958232171,535.5650169010755,920229982.7434808,104.38599795525153
505378.87179501494,453576.2743354696,502.5660659908864,875322376.5109491,15.464380006870893
504963.69827044226,450367.42242976424,565.0552152603472,86015686.71786864,20.968435646673058
505802.6110534228,450019.3036688073,555.1845907919113,404014053.38514674,150.24599611164817
500112.32604090864,458036.316338524,589.3887581283749,849197731.3789496,72.99596748476522
504018.5481027486,451271.7856519348,512.21869308531,959097631.1862435,175.3981765517451
508117.9087419866,456364.20580740797,582.5455313562887,211357088.70594627,174.48321595390448
502620.7692169885,457593.27707127697,581.5715367451203,847019562.5504016,191.1631257222847
508821.1207844835,458998.60428253934,500.37266745886257,66006463.63457242,155.53700090105733
507688.6114267827,454537.60909767146,543.9241882851351,200270429.4141897,26.516182192968984
505809.15971403575,457719.824349307,595.3644586482844,178613327.54253757,169.95338682182418
508443.2168474843,455236.08547617006,578.1421060340256,793926330.9576894,90.39750757138137
505738.65991214546,453896.55454993504,551.3202494356159,310565907.49872994,177.92993210449117
502537.322978775,452678.21576482104,542.2284375652871,35642746.081612006,83.5707072105785
501333.43894902914,451684.6318497298,517.7143029630113,709439443.601182,146.46154598802616
502714.3262917454,455570.6556864778,528.709688603615,723622892.5948985,157.12631462705798
509758.6210276624,459162.55722100806,588.4416153676522,594910339.6668237,51.311410685774206
504132.7960330087,456337.6164057274,544.2517450349101,670520953.7764626,3.7594360637645208
500304.8632770993,450183.5514193296,582.7230134962512,880892529.0985961,36.551029134218346
506860.38559099665,455771.79342391365,585.1215901988274,596728206.881835,182.5124544770315
502781.3358523915,452067.66966530774,598.1976080489142,32124281.886880558,148.59709355080383
505260.78719218704,450585.11176779243,576.9567169607279,589393532.54152,136.61230638752104
502770.2359277473,451151.7279527342,572.7967906364254,710200886.2849317,82.00544011793953
502980.1680630879,452418.86467316234,583.2078142214093,22552710.876205593,72.51263675016621
509271.88803714287,455294.4933075056,528.9459027893542,803316402.9103435,194.02791539208434
507611.96300079586,458774.7474193902,521.5109434336279,68403016.6220402,124.88382868888579
502662.77129122557,453940.58660089615,536.4291950468694,794145746.5035158,170.38748831148703
502388.0858256949,459057.9915084118,508.74510974018943,398959427.52416855,101.65026869570057
501881.4554128621,452662.03218836023,516.694833824644,162892376.58075717,56.86499956914248
505329.55053966056,458141.3284002959,554.9899531839146,769654746.084263,183.11364371752944
501302.5757275534,456805.6582639328,573.0771600377793,315476765.73165315,179.7712593322645
509459.149543625,458756.7494720026,542.2792517699927,601992367.0467453,141.45726966987607
503325.1837383788,458971.41943460784,543.6952153686225,313013978.8340125,122.91789663579094
506716.73217436386,454450.7597611068,581.3356947957443,90984993.92747197,57.03055934013741
506123.4254297225,450613.43540911906,560.1806034050682,877593682.7374287,100.45718540015234
505052.37924092787,454365.06168403913,518.2074680154633,112685455.47563803,127.16618720259032
502105.6334098943,450566.9264655337,581.3283114037995,434791637.8040088,113.64448019049979
503883.4448904101,451674.50710416125,556.2006114339453,159156382.94504553,59.54386574198314
508077.2626945145,458176.36629163084,545.5852163555355,27570646.97367829,107.30219983844806
509764.2283981388,459481.90959635685,540.0966912087857,529339401.772534,19.7503033489123
505578.98450997437,459912.00237358164,585.4079599623296,301960596.9596949,45.90178169681871
507099.5281291457,458888.0070119268,555.0463347560518,29769179.95373075,73.930051537325
500120.34094806993,458597.52137331123,540.2314311324234,456521384.41189885,144.6201480558898
500564.76524933014,450294.5810955069,511.8611340157539,255568927.52021232,4.600532397029644
507787.68403433735,456282.5831464693,566.4879536754554,955098018.0051062,173.74790295877114
508732.65091645246,455694.5329047407,583.4579586781946,273368054.05887365,42.691135221602885
501125.5818214123,454118.3389375404,544.0109668089281,396066573.7467798,172.4597368681534
505433.69702946016,454325.2194917843,504.9520025906554,575630576.8537765,118.24271628085702
507494.60191939404,453064.379707148,545.7963731065096,854850893.6283344,152.61843038563472
503716.8227100381,458923.21398893313,516.9149812013267,725128400.5799831,90.03065814231928
503696.8394757005,454485.4543609823,534.7010712622972,572249409.4054586,88.05049820700961
507109.9647099777,456242.2364558042,577.6552484974522,206775541.2432224,195.27128228974559
504526.6504445877,452969.5279952487,539.6651937909911,457271121.11768407,181.47365810387535
500955.22108065727,457777.6514078548,530.8402118338747,603810175.4347093,101.03762512547033
500732.3179944956,455891.2604603879,507.67260041409247,341150214.9339218,70.99023184922257
508166.01851153263,459853.9315438242,584.8466343737925,130730047.60388064,166.68558853734575
502886.83609916526,458134.82050110615,531.7544256741629,614698607.9397154,158.73229325575724
507182.2940966833,459925.04120184056,543.4516484100957,985778554.8844548,128.50802462668184
500547.7562145001,451537.51338988834,594.2974103356431,97900466.74436139,25.288457551000796
509893.81947322196,454199.82186918904,592.945736097152,459408247.95100343,49.24701909979827
506525.8483309399,451611.7578963794,586.6329916115183,786955595.4928226,188.80564353238452
500289.14823855413,459939.88928898546,596.20319021815,717729978.123796,84.66625404160241
504137.34607289545,455813.44762420485,597.980330775784,442895679.2498043,41.55073060116794
507370.1464588282,456631.5221884265,548.9711624815216,823917935.7451423,140.50628059150637
506333.29432528577,451346.157987774,555.6384967165092,295492542.4905134,167.28288251968584
506300.1150433606,458872.05314815766,572.4883586294313,953744984.458782,129.2154838449887
509759.4032668245,451277.42849966517,529.4917918335967,841055771.3770561,87.50293079439977
508211.84013976733,451363.60694859276,508.71849152961835,742256871.9802369,136.3672801111627
505631.6550267365,457195.14036714967,531.2382333904252,913872666.5527238,5.0970543990262795
506106.9346475878,453111.5261120527,576.5936258131159,149351712.48679513,4.599809674345257
507934.99018578435,453173.3983160387,554.469978973229,124108925.4687895,129.09949118876273
508647.00790209917,451875.72121988237,541.4328150532089,604771776.7969953,113.1355712177976
500416.1297035506,451489.30795313255,528.6973631230629,919541527.5539811,197.9678734741698
504755.074550841,451450.4591320745,524.0591296017833,711673007.6300759,6.637338671930304
500404.17341200623,456802.5786825942,576.1151126579889,395875825.583263,113.70065047711284
503178.3003339161,451214.5132384435,532.7147724120946,65756902.16054631,171.2084563355647
505455.74576295324,456670.5824963189,515.3908014625897,344783783.0736876,163.54744813247197
509798.27709929063,456854.24035524897,505.6489904246613,256847315.52554184,40.65435770672175
501783.46943238034,458103.4677755188,559.8946565838683,773180376.55132,161.01742941786586
500227.3706425317,456454.7693953283,534.9856143333762,832937017.929901,84.30929375902943
508740.2848389963,450046.3685759255,543.7278586092789,375573215.945849,1.0350126494390377
506285.1869877735,459049.270984872,530.8813450142875,963671698.162092,29.256783606752478
507009.7146891898,453447.0624398613,584.440558962153,72892424.66627112,63.74900930717384
507913.91669843224,458056.681591844,561.9654812139414,828254196.2292386,126.50795456692912
508958.12667865277,456328.1209750597,501.44890623702634,846910347.1647416,148.55545688497327
502796.28859489184,459403.2070872036,518.2599437694348,556332608.0377557,102.42574435741818
502824.2075495647,452527.0087910741,514.3834480065564,250436192.23728663,184.2174600523706
500767.8416892194,458903.4034618764,582.8370045201953,841611228.3139622,25.787944569425413
502972.5119903916,452394.61151243094,534.9939821065543,651966157.5251293,29.204680565376705
505340.5226820782,452455.53862256825,599.5148323445441,80999985.63959044,189.05291988551437
503702.44513748656,450109.91707649425,526.6513763560837,189205915.6798841,60.01885896198586
506590.59010540333,457690.1842670061,562.5657156320168,701085861.1681681,69.6777047555372
500610.2388328141,453716.2825033833,564.5196083546674,684263759.0226446,7.3881975134732825
501974.36611997336,453425.9256123247,526.7628318913904,126427150.71429601,131.0776686065382
500112.9065467797,453966.56745845976,522.2483269390157,335696670.2232048,62.522191901176825
505564.3241256246,456456.73688385676,535.680934038985,449198673.87281364,144.50496721525968
509050.681874458,457706.3045571448,562.7656141916422,10916978.639386907,78.646966045531
501152.2064163535,457440.99812717445,548.687262318933,652811784.448436,163.20239696578403
