x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M (mV/V),VMN (mV),IAB (mA)
509770,459110,624,72.3,26.83,-54.86,509768,9999999,509818,509868,0.06,63.288,550
509770,459110,624,99.06,24.81,35.81,509768,9999999,509868,509918,0.14,28.904,550
509770,459110,624,70.8,19.07,-48.24,509768,9999999,509918,509968,0.22,10.329,550
509770,459110,624,127.82,23.56,-86.76,509768,9999999,509968,510018,2.16,11.189,550
509770,459110,624,106.67,21.88,125.06,509768,9999999,510018,510068,3.98,6.225,550
509770,459110,624,87.78,21.82,-9.37,509768,9999999,510068,510118,2.37,3.659,550
509770,459110,624,62.7,22.63,-2.94,509768,9999999,510118,510168,5.44,1.96,550
509770,459110,624,38.72,27.63,31.51,509768,9999999,510168,510218,5.34,0.941,550
509770,459110,624,84.97,29.22,54.33,509768,9999999,510218,510268,2.09,1.653,550
509770,459110,624,72.15,26.72,-53.98,509768,9999999,509818,509868,0.1,63.157,550
509770,459110,624,98.85,24.82,37.85,509768,9999999,509868,509918,0.23,28.844,550
509770,459110,624,70.65,19.24,-49.13,509768,9999999,509918,509968,0.11,10.308,550
509770,459110,624,127.47,25.17,-88.15,509768,9999999,509968,510018,0.47,11.158,550
509770,459110,624,106.6,19.19,124.95,509768,9999999,510018,510068,0.91,6.221,550
509770,459110,624,87.66,20.79,-7.25,509768,9999999,510068,510118,1.41,3.654,550
509770,459110,624,62.39,24.48,-3.95,509768,9999999,510118,510168,4.88,1.951,550
509770,459110,624,38.57,29.54,31.84,509768,9999999,510168,510218,9.21,0.938,550
509770,459110,624,84.5,30.12,54.34,509768,9999999,510218,510268,1.63,1.644,550
509820,459110,624,229.24,14.96,1.58,509818,9999999,509868,509918,0.05,149.587,410
509820,459110,624,156.7,11.95,-36.74,509818,9999999,509918,509968,0.28,34.085,410
509820,459110,624,272.47,20.3,-89.66,509818,9999999,509968,510018,0.19,29.633,410
509820,459110,624,185.51,16.05,73.12,509818,9999999,510018,510068,0.98,12.105,410
509820,459110,624,154.51,20.02,52.46,509818,9999999,510068,510118,1.4,6.722,410
509820,459110,624,93.09,21.94,-11.4,509818,9999999,510118,510168,1.05,2.893,410
509820,459110,624,55.32,27.57,16.59,509818,9999999,510168,510218,1.19,1.289,410
509820,459110,624,90.16,29.73,38.73,509818,9999999,510218,510268,3.79,1.634,410
509820,459110,624,228.89,14.92,-1.23,509818,9999999,509868,509918,0.06,149.36,410
509820,459110,624,156.53,12.46,-30.45,509818,9999999,509918,509968,0.21,34.048,410
509820,459110,624,272.01,20.24,-93.22,509818,9999999,509968,510018,0.2,29.582,410
509820,459110,624,185.32,16.57,76.65,509818,9999999,510018,510068,0.42,12.093,410
509820,459110,624,154.15,18.87,52.67,509818,9999999,510068,510118,0.38,6.706,410
509820,459110,624,92.93,22.06,-10.86,509818,9999999,510118,510168,0.44,2.888,410
509820,459110,624,55.39,28.35,16.97,509818,9999999,510168,510218,2.14,1.291,410
509820,459110,624,89.99,29.65,37.4,509818,9999999,510218,510268,1.17,1.631,410
509870,459110,625,370.46,11.93,-0.01,509868,9999999,509918,509968,0.01,324.286,550
509870,459110,625,600.42,17.74,-80.64,509868,9999999,509968,510018,0.03,175.194,550
509870,459110,625,461.57,15.41,90.64,509868,9999999,510018,510068,0.07,67.34,550
509870,459110,625,339.57,16.53,10.61,509868,9999999,510068,510118,0.38,29.724,550
509870,459110,625,193.61,21.26,7.99,509868,9999999,510118,510168,1.09,11.299,550
509870,459110,625,119.67,24.06,5.09,509868,9999999,510168,510218,6.78,4.988,550
509870,459110,625,131.43,25.88,1.51,509868,9999999,510218,510268,6.02,4.109,550
509870,459110,625,33.74,6.13,-15.54,509868,9999999,510268,510318,27.37,0.82,550
509870,459110,625,369.74,11.88,7.68,509868,9999999,509918,509968,0.0,323.649,550
509870,459110,625,599.25,17.68,-86.08,509868,9999999,509968,510018,0.03,174.85,550
509870,459110,625,460.68,15.35,95.37,509868,9999999,510018,510068,0.11,67.21,550
509870,459110,625,339.06,16.86,10.79,509868,9999999,510068,510118,0.13,29.68,550
509870,459110,625,193.0,19.82,7.66,509868,9999999,510118,510168,0.5,11.263,550
509870,459110,625,119.59,21.84,2.85,509868,9999999,510168,510218,0.59,4.985,550
509870,459110,625,130.58,26.46,5.92,509868,9999999,510218,510268,0.72,4.082,550
509870,459110,625,33.54,13.68,-19.19,509868,9999999,510268,510318,6.58,0.816,550
509920,459110,625,434.21,16.4,-57.26,509918,9999999,509968,510018,0.01,525.212,760
509920,459110,625,533.35,13.77,65.47,509918,9999999,510018,510068,0.02,215.044,760
509920,459110,625,448.08,15.66,12.58,509918,9999999,510068,510118,0.04,90.331,760
509920,459110,625,262.98,19.03,6.47,509918,9999999,510118,510168,0.15,31.809,760
509920,459110,625,168.9,21.48,12.28,509918,9999999,510168,510218,0.11,13.619,760
509920,459110,625,165.52,24.88,31.61,509918,9999999,510218,510268,0.31,9.534,760
509920,459110,625,57.45,14.63,-55.83,509918,9999999,510268,510318,2.01,2.482,760
509920,459110,625,27.67,5.38,30.35,509918,9999999,510418,510468,18.82,0.608,760
509920,459110,625,434.04,16.42,-56.53,509918,9999999,509968,510018,0.01,525.006,760
509920,459110,625,533.15,13.8,68.74,509918,9999999,510018,510068,0.01,214.961,760
509920,459110,625,447.89,15.63,13.6,509918,9999999,510068,510118,0.08,90.294,760
509920,459110,625,262.91,19.15,5.43,509918,9999999,510118,510168,0.29,31.801,760
509920,459110,625,168.83,21.1,12.46,509918,9999999,510168,510218,0.16,13.615,760
509920,459110,625,165.41,25.09,32.42,509918,9999999,510218,510268,0.58,9.528,760
509920,459110,625,57.72,15.5,-56.37,509918,9999999,510268,510318,2.02,2.493,760
509920,459110,625,27.81,13.24,31.51,509918,9999999,510418,510468,12.91,0.612,760
509970,459110,625,417.4,13.41,69.58,509968,9999999,510018,510068,0.05,348.767,525
509970,459110,625,438.62,14.21,26.8,509968,9999999,510068,510118,0.07,122.165,525
509970,459110,625,257.07,16.43,-11.83,509968,9999999,510118,510168,0.19,35.799,525
509970,459110,625,183.76,18.74,22.01,509968,9999999,510168,510218,0.5,15.354,525
509970,459110,625,176.34,23.0,31.58,509968,9999999,510218,510268,0.15,9.823,525
509970,459110,625,69.48,15.73,-39.06,509968,9999999,510268,510318,1.35,2.764,525
509970,459110,625,35.96,8.57,15.61,509968,9999999,510368,510418,17.44,0.835,525
509970,459110,625,41.25,10.89,40.03,509968,9999999,510418,510468,19.52,0.766,525
509970,459110,625,29.0,17.56,-27.56,509968,9999999,510468,510518,5.9,0.441,525
509970,459110,625,417.81,13.43,75.4,509968,9999999,510018,510068,0.02,349.109,525
509970,459110,625,439.04,14.24,25.68,509968,9999999,510068,510118,0.05,122.283,525
509970,459110,625,257.3,16.51,-9.75,509968,9999999,510118,510168,0.2,35.831,525
509970,459110,625,183.96,18.49,18.46,509968,9999999,510168,510218,0.45,15.371,525
509970,459110,625,176.48,23.07,32.85,509968,9999999,510218,510268,0.31,9.831,525
509970,459110,625,69.48,15.89,-40.14,509968,9999999,510268,510318,1.5,2.764,525
509970,459110,625,28.69,25.15,-25.01,509968,9999999,510468,510518,5.77,0.436,525
510020,459110,587,398.95,16.43,36.35,510018,9999999,510068,510118,0.06,234.933,370
510020,459110,587,286.96,16.54,-17.36,510018,9999999,510118,510168,0.07,56.327,370
510020,459110,587,219.56,18.19,0.49,510018,9999999,510168,510218,0.11,21.549,370
510020,459110,587,210.22,22.43,33.03,510018,9999999,510218,510268,0.2,12.379,370
510020,459110,587,92.96,19.71,-47.66,510018,9999999,510268,510318,1.39,3.65,370
510020,459110,587,58.25,7.16,-97.15,510018,9999999,510318,510368,2.99,1.633,370
510020,459110,587,58.91,12.37,-10.57,510018,9999999,510368,510418,3.26,1.239,370
510020,459110,587,60.99,20.56,72.87,510018,9999999,510418,510468,4.23,0.998,370
510020,459110,587,45.19,20.64,-56.14,510018,9999999,510468,510518,3.58,0.591,370
510020,459110,587,37.85,17.17,43.84,510018,9999999,510518,510568,7.75,0.405,370
510020,459110,587,397.9,16.43,36.7,510018,9999999,510068,510118,0.06,234.31,370
510020,459110,587,286.19,16.55,-17.21,510018,9999999,510118,510168,0.07,56.177,370
510020,459110,587,219.0,18.15,1.02,510018,9999999,510168,510218,0.12,21.494,370
510020,459110,587,209.67,22.55,32.61,510018,9999999,510218,510268,0.12,12.347,370
510020,459110,587,92.5,18.62,-47.99,510018,9999999,510268,510318,1.51,3.631,370
510020,459110,587,58.29,9.77,-97.11,510018,9999999,510318,510368,3.4,1.634,370
510020,459110,587,58.73,17.07,-10.48,510018,9999999,510368,510418,3.36,1.235,370
510020,459110,587,60.47,16.01,73.32,510018,9999999,510418,510468,5.57,0.989,370
510020,459110,587,44.68,25.01,-57.59,510018,9999999,510468,510518,3.56,0.585,370
510020,459110,587,37.85,20.37,44.29,510018,9999999,510518,510568,11.92,0.405,370
510070,459110,591,302.5,16.27,6.92,510068,9999999,510118,510168,0.02,182.947,380
510070,459110,591,256.35,16.29,2.33,510068,9999999,510168,510218,0.03,51.68,380
510070,459110,591,259.06,20.64,18.54,510068,9999999,510218,510268,0.09,26.113,380
510070,459110,591,128.31,19.63,-30.79,510068,9999999,510268,510318,0.64,7.76,380
510070,459110,591,97.21,11.96,-99.9,510068,9999999,510318,510368,1.52,3.919,380
510070,459110,591,90.1,17.73,1.24,510068,9999999,510368,510418,1.02,2.595,380
510070,459110,591,88.27,21.49,39.87,510068,9999999,510418,510468,3.43,1.907,380
510070,459110,591,66.37,20.07,-42.59,510068,9999999,510468,510518,7.39,1.115,380
510070,459110,591,50.25,19.38,4.66,510068,9999999,510518,510568,2.5,0.675,380
510070,459110,591,20.73,17.34,3.13,510068,9999999,510568,510618,25.9,0.228,380
510070,459110,591,301.22,16.3,8.09,510068,9999999,510118,510168,0.02,182.174,380
510070,459110,591,255.26,16.3,1.01,510068,9999999,510168,510218,0.03,51.459,380
510070,459110,591,257.95,20.77,19.11,510068,9999999,510218,510268,0.15,26.001,380
510070,459110,591,127.7,18.58,-32.35,510068,9999999,510268,510318,0.73,7.723,380
510070,459110,591,96.73,13.86,-98.79,510068,9999999,510318,510368,0.94,3.9,380
510070,459110,591,89.49,17.43,1.18,510068,9999999,510368,510418,1.6,2.577,380
510070,459110,591,87.94,21.12,46.19,510068,9999999,510418,510468,1.43,1.899,380
