x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M (mV/V),VMN (mV),IAB (mA)
509550,459392,608,60.14,12.66,-25.87,509550,9999999,509600,509650,0.08,66.998,700
509550,459392,608,49.08,19.7,36.78,509550,9999999,509650,509700,0.2,18.226,700
509550,459392,608,37.24,22.31,-50.75,509550,9999999,509700,509750,0.85,6.915,700
509550,459392,608,50.23,12.64,34.67,509550,9999999,509750,509800,0.33,5.596,700
509550,459392,608,71.64,15.54,42.6,509550,9999999,509800,509850,1.18,5.321,700
509550,459392,608,55.86,24.59,-57.54,509550,9999999,509850,509900,1.81,2.964,700
509550,459392,608,90.92,19.12,37.53,509550,9999999,509900,509950,1.78,3.618,700
509550,459392,608,135.65,18.3,-105.59,509550,9999999,509950,510000,0.8,4.198,700
509550,459392,608,155.45,17.53,43.29,509550,9999999,510000,510050,2.64,3.849,700
509550,459392,608,232.1,17.85,-67.36,509550,9999999,510050,510100,2.07,4.702,700
509550,459392,608,60.56,12.59,-26.5,509550,9999999,509600,509650,0.08,67.464,700
509550,459392,608,49.42,19.91,37.86,509550,9999999,509650,509700,0.21,18.353,700
509550,459392,608,37.5,22.08,-51.73,509550,9999999,509700,509750,0.43,6.963,700
509550,459392,608,50.61,12.69,35.26,509550,9999999,509750,509800,0.55,5.638,700
509550,459392,608,72.22,16.03,41.72,509550,9999999,509800,509850,0.9,5.364,700
509550,459392,608,56.26,24.76,-57.19,509550,9999999,509850,509900,1.5,2.985,700
509550,459392,608,91.69,20.03,37.76,509550,9999999,509900,509950,1.15,3.648,700
509550,459392,608,136.66,18.32,-105.01,509550,9999999,509950,510000,1.74,4.229,700
509550,459392,608,156.61,18.45,23.94,509550,9999999,510000,510050,1.32,3.877,700
509550,459392,608,234.18,16.5,-47.19,509550,9999999,510050,510100,1.98,4.743,700
509601,459395,602,47.91,17.4,30.18,509600,9999999,509650,509700,0.16,60.997,800
509601,459395,602,34.53,22.76,-14.7,509600,9999999,509700,509750,0.22,14.654,800
509601,459395,602,41.8,13.54,3.3,509600,9999999,509750,509800,0.28,8.869,800
509601,459395,602,51.13,16.82,4.03,509600,9999999,509800,509850,0.7,6.511,800
509601,459395,602,46.31,26.37,1.23,509600,9999999,509850,509900,1.02,3.931,800
509601,459395,602,137.44,16.84,-79.99,509600,9999999,510000,510050,1.56,4.861,800
509601,459395,602,210.11,15.92,23.01,509600,9999999,510050,510100,0.4,5.945,800
509601,459395,602,214.79,15.66,10.03,509600,9999999,510100,510150,1.09,4.972,800
509601,459395,602,48.07,17.55,31.9,509600,9999999,509650,509700,0.33,61.201,800
509601,459395,602,34.64,22.24,-15.03,509600,9999999,509700,509750,1.41,14.702,800
509601,459395,602,41.93,13.74,5.2,509600,9999999,509750,509800,0.1,8.898,800
509601,459395,602,51.31,17.16,2.08,509600,9999999,509800,509850,0.33,6.533,800
509601,459395,602,46.48,26.32,-1.3,509600,9999999,509850,509900,0.84,3.945,800
509601,459395,602,74.88,18.64,2.44,509600,9999999,509900,509950,9.58,4.54,800
509601,459395,602,116.39,18.46,-43.83,509600,9999999,509950,510000,8.04,5.293,800
509601,459395,602,138.14,17.75,-81.43,509600,9999999,510000,510050,1.08,4.886,800
509601,459395,602,210.55,15.85,23.77,509600,9999999,510050,510100,0.63,5.957,800
509601,459395,602,215.53,15.26,9.18,509600,9999999,510100,510150,0.73,4.99,800
509601,459395,602,48.15,17.6,32.93,509600,9999999,509650,509700,0.55,61.302,800
509601,459395,602,34.71,22.83,-15.43,509600,9999999,509700,509750,0.05,14.73,800
