x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M (mV/V),VMN (mV),IAB (mA)
510571,459054,586,1366.97,13.05,-34.74,510571,9999999,510821,510871,0.33,55.115,380
510571,459054,586,1853.67,15.39,-24.68,510571,9999999,510871,510921,0.3,53.385,380
510571,459054,586,749.95,15.61,-20.33,510571,9999999,510921,510971,0.47,16.199,380
510571,459054,586,360.35,10.83,-8.75,510571,9999999,510971,511021,0.73,6.054,380
510571,459054,586,261.4,6.85,84.94,510571,9999999,511021,511071,1.47,3.513,380
510571,459054,586,390.27,15.72,-62.1,510571,9999999,511071,511121,1.83,4.291,380
510571,459054,586,65.04,26.93,27.93,510571,9999999,510621,510671,1.4,37.265,360
510571,459054,586,117.22,21.83,-41.04,510571,9999999,510671,510721,0.31,22.387,360
510571,459054,586,388.75,22.23,-28.71,510571,9999999,510721,510771,0.1,37.123,360
510571,459054,586,464.57,14.97,-23.68,510571,9999999,510771,510821,0.14,26.618,360
510571,459054,586,1455.82,13.41,-16.47,510571,9999999,510821,510871,0.16,55.608,360
510571,459054,586,1973.76,15.61,-30.54,510571,9999999,510871,510921,0.2,53.852,360
510571,459054,586,798.17,15.86,-7.87,510571,9999999,510921,510971,0.15,16.333,360
510571,459054,586,383.44,10.32,6.98,510571,9999999,510971,511021,0.68,6.103,360
510571,459054,586,277.39,8.29,37.21,510571,9999999,511021,511071,1.4,3.532,360
510571,459054,586,415.61,14.43,-45.96,510571,9999999,511071,511121,1.41,4.33,360
510621,459055,583,67.2,22.79,-17.22,510621,9999999,510671,510721,0.22,50.267,470
510621,459055,583,221.88,22.55,-12.63,510621,9999999,510721,510771,0.11,55.324,470
510621,459055,583,314.66,15.46,-19.59,510621,9999999,510771,510821,0.14,39.23,470
510621,459055,583,1069.27,13.72,-19.68,510621,9999999,510821,510871,0.07,79.985,470
510621,459055,583,1561.83,15.92,-13.11,510621,9999999,510871,510921,0.08,77.886,470
510621,459055,583,664.37,16.25,-38.14,510621,9999999,510921,510971,0.17,23.665,470
510621,459055,583,333.96,11.6,-11.94,510621,9999999,510971,511021,0.52,8.922,470
510621,459055,583,263.22,9.36,51.27,510621,9999999,511021,511071,1.54,5.469,470
510621,459055,583,397.06,14.48,-61.89,510621,9999999,511071,511121,0.95,6.6,470
510621,459055,583,67.52,18.23,57.86,510621,9999999,511121,511171,3.83,0.918,470
510621,459055,583,67.1,22.82,-19.79,510621,9999999,510671,510721,0.17,50.191,470
510621,459055,583,221.58,22.64,-11.36,510621,9999999,510721,510771,0.03,55.248,470
510621,459055,583,314.17,15.54,-20.0,510621,9999999,510771,510821,0.07,39.168,470
510621,459055,583,1067.76,13.78,-19.19,510621,9999999,510821,510871,0.13,79.871,470
510621,459055,583,1559.49,16.03,-11.82,510621,9999999,510871,510921,0.21,77.77,470
510621,459055,583,663.49,16.34,-37.21,510621,9999999,510921,510971,0.62,23.634,470
510621,459055,583,333.66,11.81,-12.18,510621,9999999,510971,511021,0.63,8.914,470
510621,459055,583,262.18,8.66,50.71,510621,9999999,511021,511071,0.83,5.448,470
510621,459055,583,397.47,15.39,-64.0,510621,9999999,511071,511121,0.68,6.607,470
510670,459057,581,121.88,22.6,-44.16,510671,9999999,510721,510771,0.02,89.231,460
510670,459057,581,206.94,16.2,-12.76,510671,9999999,510771,510821,0.04,50.5,460
510670,459057,581,792.83,14.25,-35.23,510671,9999999,510821,510871,0.05,96.74,460
510670,459057,581,1301.1,16.43,-8.86,510671,9999999,510871,510921,0.05,95.255,460
510670,459057,581,592.72,16.46,-11.02,510671,9999999,510921,510971,0.25,28.929,460
510670,459057,581,316.85,12.15,-13.21,510671,9999999,510971,511021,3.9,11.046,460
510670,459057,581,281.76,13.42,29.71,510671,9999999,511021,511071,5.53,7.367,460
510670,459057,581,359.61,14.69,-58.1,510671,9999999,511071,511121,0.7,7.313,460
510670,459057,581,109.63,18.97,20.51,510671,9999999,511121,511171,2.59,1.784,460
510670,459057,581,379.35,29.73,-5.27,510671,9999999,511171,511221,0.47,5.05,460
510670,459057,581,122.14,22.5,-43.17,510671,9999999,510721,510771,0.02,89.42,460
510670,459057,581,207.37,16.14,-12.8,510671,9999999,510771,510821,0.09,50.607,460
510670,459057,581,794.63,14.2,-35.18,510671,9999999,510821,510871,0.01,96.96,460
510670,459057,581,1304.04,16.35,-8.31,510671,9999999,510871,510921,0.07,95.47,460
510670,459057,581,594.03,16.64,-9.68,510671,9999999,510921,510971,0.21,28.993,460
510670,459057,581,317.52,12.4,-13.8,510671,9999999,510971,511021,0.37,11.069,460
510670,459057,581,282.77,13.68,30.22,510671,9999999,511021,511071,1.13,7.394,460
510670,459057,581,359.75,13.45,-59.35,510671,9999999,511071,511121,1.19,7.316,460
510670,459057,581,110.22,19.71,20.0,510671,9999999,511121,511171,2.16,1.793,460
510670,459057,581,379.59,29.24,-5.24,510671,9999999,511171,511221,1.54,5.053,460
510722,459057,581,119.26,16.01,-20.95,510721,9999999,510771,510821,0.05,132.864,700
510722,459057,581,550.18,14.83,-38.17,510721,9999999,510821,510871,0.05,204.316,700
510722,459057,581,1103.74,16.82,-5.49,510721,9999999,510871,510921,0.07,204.943,700
510722,459057,581,555.91,16.88,-15.96,510721,9999999,510921,510971,0.15,61.933,700
510722,459057,581,321.82,13.42,-5.66,510721,9999999,510971,511021,0.13,23.902,700
510722,459057,581,324.15,14.14,17.77,510721,9999999,511021,511071,0.78,17.197,700
510722,459057,581,342.03,17.16,-58.14,510721,9999999,511071,511121,0.9,13.609,700
510722,459057,581,127.88,18.41,77.37,510721,9999999,511121,511171,0.82,3.957,700
510722,459057,581,394.69,27.86,-59.79,510721,9999999,511171,511221,0.51,9.772,700
510722,459057,581,293.17,28.23,57.94,510721,9999999,511221,511271,0.87,5.938,700
510772,459060,581,407.07,14.5,-56.61,510771,9999999,510821,510871,0.01,401.678,620
510772,459060,581,1161.96,16.14,-4.57,510771,9999999,510871,510921,0.03,382.194,620
510772,459060,581,700.07,16.17,-29.7,510771,9999999,510921,510971,0.1,115.133,620
510772,459060,581,413.9,13.65,-13.3,510771,9999999,510971,511021,0.27,40.842,620
510772,459060,581,521.28,15.63,48.42,510771,9999999,511021,511071,0.33,34.292,620
510772,459060,581,407.18,18.01,-59.03,510771,9999999,511071,511121,0.67,19.133,620
510772,459060,581,261.29,20.18,21.05,510771,9999999,511121,511171,0.65,9.208,620
510772,459060,581,484.95,24.77,3.89,510771,9999999,511171,511221,0.72,13.292,620
510772,459060,581,374.44,25.17,10.55,510771,9999999,511221,511271,1.07,8.211,620
510772,459060,581,406.75,14.51,-55.99,510771,9999999,510821,510871,0.02,401.364,620
510772,459060,581,1161.01,16.13,-4.88,510771,9999999,510871,510921,0.02,381.881,620
510772,459060,581,699.49,16.18,-31.53,510771,9999999,510921,510971,0.07,115.038,620
510772,459060,581,413.52,13.63,-10.69,510771,9999999,510971,511021,0.17,40.804,620
510772,459060,581,520.37,15.32,47.48,510771,9999999,511021,511071,0.2,34.232,620
510772,459060,581,407.36,18.93,-60.21,510771,9999999,511071,511121,0.39,19.141,620
510772,459060,581,261.04,19.83,22.63,510771,9999999,511121,511171,0.54,9.199,620
510772,459060,581,484.75,25.44,-5.01,510771,9999999,511171,511221,0.4,13.287,620
510772,459060,581,299.86,28.18,-22.87,510771,9999999,511221,511271,0.81,6.575,620
510772,459060,581,90.42,11.65,39.94,510771,9999999,511271,511321,1.71,1.622,620
510824,459058,573,1028.08,13.77,-11.92,510821,9999999,510871,510921,0.0,1259.904,770
510824,459058,573,647.2,13.71,-14.24,510821,9999999,510921,510971,0.01,264.38,770
510824,459058,573,477.77,10.64,-39.94,510821,9999999,510971,511021,0.03,97.585,770
510824,459058,573,493.48,12.89,61.43,510821,9999999,511021,511071,0.06,60.476,770
510824,459058,573,400.21,16.97,-50.72,510821,9999999,511071,511121,0.14,32.697,770
510824,459058,573,283.06,17.21,52.1,510821,9999999,511121,511171,0.17,16.518,770
510824,459058,573,540.88,21.39,-56.26,510821,9999999,511171,511221,0.21,23.673,770
510824,459058,573,423.24,21.42,49.89,510821,9999999,511221,511271,0.08,14.408,770
510824,459058,573,194.99,9.89,-18.36,510821,9999999,511271,511321,0.91,5.31,770
510824,459058,573,1031.27,13.73,-9.96,510821,9999999,510871,510921,0.02,1263.815,770
510824,459058,573,649.2,13.67,-15.54,510821,9999999,510921,510971,0.03,265.197,770
510824,459058,573,479.3,10.65,-42.54,510821,9999999,510971,511021,0.1,97.897,770
510824,459058,573,494.94,12.96,65.59,510821,9999999,511021,511071,0.24,60.655,770
510824,459058,573,401.39,16.25,-50.34,510821,9999999,511071,511121,0.38,32.793,770
510824,459058,573,283.93,17.03,51.99,510821,9999999,511121,511171,0.46,16.569,770
510824,459058,573,542.98,21.77,-56.23,510821,9999999,511171,511221,0.21,23.765,770
510824,459058,573,424.62,21.01,48.86,510821,9999999,511221,511271,0.57,14.455,770
510824,459058,573,70.19,9.6,-95.15,510821,9999999,511271,511321,2.97,1.911,770
510824,459058,573,153.48,7.72,76.69,510821,9999999,511321,511371,1.36,3.42,770
510872,459059,578,1003.8,13.39,-20.5,510871,9999999,510921,510971,0.0,1142.285,715
510872,459059,578,689.61,8.4,-41.85,510871,9999999,510971,511021,0.01,261.583,715
510872,459059,578,815.61,9.78,21.67,510871,9999999,511021,511071,0.03,154.688,715
510872,459059,578,508.58,14.04,-13.79,510871,9999999,511071,511121,0.17,57.874,715
510872,459059,578,479.81,13.09,38.18,510871,9999999,511121,511171,0.43,36.4,715
510872,459059,578,732.01,18.51,-23.0,510871,9999999,511171,511221,0.23,39.667,715
510872,459059,578,642.8,17.34,53.26,510871,9999999,511221,511271,0.19,26.124,715
