x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M (mV/V),VMN (mV),IAB (mA)
511123,458802,569,186.14,9.08,7.88,458800,9999999,458850,458900,0.05,198.491,670
511123,458802,569,230.75,17.51,-53.31,458800,9999999,458900,458950,0.11,82.019,670
511123,458802,569,328.49,14.34,-7.37,458800,9999999,458950,459000,0.18,58.381,670
511123,458802,569,633.82,13.63,70.55,458800,9999999,459000,459050,0.06,67.586,670
511123,458802,569,829.84,15.35,-25.96,458800,9999999,459050,459100,0.08,58.993,670
511123,458802,569,1030.14,19.06,23.87,458800,9999999,459100,459150,0.13,52.309,670
511123,458802,569,858.69,18.11,-30.15,458800,9999999,459150,459200,0.26,32.702,670
511123,458802,569,1083.31,14.19,-1.21,458800,9999999,459200,459250,0.09,32.088,670
511123,458802,569,1234.24,12.85,-3.64,458800,9999999,459250,459300,0.06,29.247,670
511123,458802,569,1018.83,15.54,-1.07,458800,9999999,459300,459350,0.21,19.753,670
511123,458802,569,187.22,9.08,7.96,458800,9999999,458850,458900,0.04,199.644,670
511123,458802,569,232.07,17.49,-52.95,458800,9999999,458900,458950,0.05,82.489,670
511123,458802,569,330.39,14.39,-7.62,458800,9999999,458950,459000,0.06,58.718,670
511123,458802,569,637.48,13.58,69.8,458800,9999999,459000,459050,0.05,67.977,670
511123,458802,569,834.55,15.26,-27.68,458800,9999999,459050,459100,0.06,59.327,670
511123,458802,569,1036.17,19.13,23.81,458800,9999999,459100,459150,0.08,52.615,670
511123,458802,569,863.87,18.06,-26.73,458800,9999999,459150,459200,0.19,32.899,670
511123,458802,569,1089.85,14.21,-1.9,458800,9999999,459200,459250,0.12,32.282,670
511123,458802,569,1241.4,12.75,-4.14,458800,9999999,459250,459300,0.35,29.417,670
511123,458802,569,1025.18,15.71,-1.48,458800,9999999,459300,459350,0.46,19.876,670
511125,458850,568,149.09,15.54,-49.34,458850,9999999,458900,458950,0.06,90.169,380
511125,458850,568,254.14,13.04,-25.78,458850,9999999,458950,459000,0.24,51.234,380
511125,458850,568,611.13,12.27,37.57,458850,9999999,459000,459050,0.17,61.6,380
511125,458850,568,605.79,14.06,-10.28,458850,9999999,459050,459100,0.25,36.637,380
511125,458850,568,931.47,18.06,5.68,458850,9999999,459100,459150,0.17,37.556,380
511125,458850,568,1203.74,11.9,26.24,458850,9999999,459250,459300,0.32,20.222,380
511125,458850,568,1055.72,14.47,-33.32,458850,9999999,459300,459350,0.16,14.189,380
511125,458850,568,872.99,14.7,0.94,458850,9999999,459350,459400,0.6,9.6,380
511125,458850,568,148.75,15.55,-48.56,458850,9999999,458900,458950,0.04,89.96,380
511125,458850,568,253.44,12.77,-23.95,458850,9999999,458950,459000,0.05,51.092,380
511125,458850,568,610.02,12.47,37.78,458850,9999999,459000,459050,0.07,61.489,380
511125,458850,568,604.37,14.13,-13.46,458850,9999999,459050,459100,0.25,36.551,380
511125,458850,568,929.29,17.9,8.92,458850,9999999,459100,459150,0.18,37.468,380
511125,458850,568,768.24,17.07,-23.71,458850,9999999,459150,459200,0.15,22.125,380
511125,458850,568,1030.07,13.15,4.29,458850,9999999,459200,459250,0.18,22.249,380
511125,458850,568,1200.84,11.95,25.33,458850,9999999,459250,459300,0.14,20.174,380
511125,458850,568,1053.16,14.62,-33.28,458850,9999999,459300,459350,0.1,14.154,380
511125,458850,568,870.65,14.65,0.28,458850,9999999,459350,459400,0.38,9.574,380
511133,458904,570,167.72,13.28,-47.66,458900,9999999,458950,459000,0.03,121.458,455
511133,458904,570,681.09,13.42,58.04,458900,9999999,459000,459050,0.02,164.405,455
511133,458904,570,1667.92,15.78,1.36,458900,9999999,459100,459150,0.03,120.783,455
511133,458904,570,661.74,16.77,-15.52,458900,9999999,459150,459200,0.1,31.947,455
511133,458904,570,912.0,12.96,2.71,458900,9999999,459200,459250,0.16,31.449,455
511133,458904,570,1093.61,11.76,8.13,458900,9999999,459250,459300,0.15,28.284,455
