x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M (mV/V),VMN (mV),IAB (mA)
510012,459100,590,325.84,15.1,-15.94,459100,9999999,459150,459200,0.05,191.881,370
510012,459100,590,382.15,14.42,-44.95,459100,9999999,459200,459250,0.14,75.013,370
510012,459100,590,417.31,15.73,8.82,459100,9999999,459250,459300,0.13,40.957,370
510012,459100,590,342.02,15.9,60.07,459100,9999999,459300,459350,0.99,20.14,370
510012,459100,590,413.52,13.96,25.49,459100,9999999,459350,459400,0.62,16.234,370
510012,459100,590,388.99,15.88,-24.08,459100,9999999,459400,459450,2.79,10.908,370
510012,459100,590,229.07,13.27,2.07,459100,9999999,459450,459500,4.82,4.818,370
510012,459100,590,107.76,17.38,20.85,459100,9999999,459500,459550,14.43,1.763,370
510012,459100,590,320.89,15.04,-19.2,459100,9999999,459150,459200,0.04,191.52,375
510012,459100,590,376.3,14.42,-41.88,459100,9999999,459200,459250,0.17,74.862,375
510012,459100,590,411.05,15.8,7.27,459100,9999999,459250,459300,0.27,40.888,375
510012,459100,590,336.83,15.81,59.76,459100,9999999,459300,459350,1.08,20.103,375
510012,459100,590,408.25,15.11,23.53,459100,9999999,459350,459400,1.4,16.244,375
510012,459100,590,383.94,15.05,-19.64,459100,9999999,459400,459450,1.99,10.912,375
510012,459100,590,226.46,12.53,1.89,459100,9999999,459450,459500,2.5,4.827,375
510012,459100,590,105.17,15.25,20.46,459100,9999999,459500,459550,7.9,1.744,375
510012,459100,590,79.97,23.54,-33.44,459100,9999999,459600,459650,13.91,0.868,375
510013,459150,592,440.3,15.08,15.53,459150,9999999,459200,459250,0.09,546.597,780
510013,459150,592,665.5,16.22,-16.27,459150,9999999,459250,459300,0.15,275.384,780
510013,459150,592,621.99,16.81,61.25,459150,9999999,459300,459350,0.24,128.69,780
510013,459150,592,809.33,15.68,29.17,459150,9999999,459350,459400,0.15,100.47,780
510013,459150,592,688.86,16.64,11.7,459150,9999999,459400,459450,0.96,57.01,780
510013,459150,592,448.94,17.32,-15.14,459150,9999999,459450,459500,1.32,26.539,780
510013,459150,592,215.26,17.03,6.17,459150,9999999,459500,459550,3.09,9.544,780
510013,459150,592,167.54,16.36,-8.12,459150,9999999,459550,459600,5.5,5.777,780
