x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M,VMN (mV),IAB (mA)
130,230,30.0,80.0,16.0,-5.0,130,180,150,160,3,6.5,10.3
131,231,30.1,80.5,16.1,-4.8,130,180,150,160,3,6.5,10.3
132,232,30.2,81.0,16.2,-4.6,130,180,150,160,3,6.5,10.3
133,233,30.3,81.5,16.3,-4.4,130,180,150,160,3,6.5,10.3
134,234,30.4,82.0,16.4,-4.2,130,180,150,160,3,6.5,10.3
135,235,30.5,82.5,16.5,-4.0,130,180,150,160,3,6.5,10.3
136,236,30.6,83.0,16.6,-3.8,130,180,150,160,3,6.5,10.3
137,237,30.7,83.5,16.7,-3.5999999999999996,130,180,150,160,3,6.5,10.3
138,238,30.8,84.0,16.8,-3.4,130,180,150,160,3,6.5,10.3
139,239,30.9,84.5,16.9,-3.2,130,180,150,160,3,6.5,10.3
140,240,31.0,85.0,17.0,-3.0,130,180,150,160,3,6.5,10.3
141,241,31.1,85.5,17.1,-2.8,130,180,150,160,3,6.5,10.3
142,242,31.2,86.0,17.2,-2.5999999999999996,130,180,150,160,3,6.5,10.3
143,243,31.3,86.5,17.3,-2.4,130,180,150,160,3,6.5,10.3
144,244,31.4,87.0,17.4,-2.1999999999999997,130,180,150,160,3,6.5,10.3
145,245,31.5,87.5,17.5,-2.0,130,180,150,160,3,6.5,10.3
146,246,31.6,88.0,17.6,-1.7999999999999998,130,180,150,160,3,6.5,10.3
147,247,31.7,88.5,17.7,-1.5999999999999996,130,180,150,160,3,6.5,10.3
148,248,31.8,89.0,17.8,-1.4,130,180,150,160,3,6.5,10.3
149,249,31.9,89.5,17.9,-1.1999999999999997,130,180,150,160,3,6.5,10.3
150,250,32.0,90.0,18.0,-1.0,130,180,150,160,3,6.5,10.3
151,251,32.1,90.5,18.1,-0.7999999999999998,130,180,150,160,3,6.5,10.3
152,252,32.2,91.0,18.2,-0.5999999999999996,130,180,150,160,3,6.5,10.3
153,253,32.3,91.5,18.3,-0.39999999999999947,130,180,150,160,3,6.5,10.3
154,254,32.4,92.0,18.4,-0.1999999999999993,130,180,150,160,3,6.5,10.3
155,255,32.5,92.5,18.5,0.0,130,180,150,160,3,6.5,10.3
156,256,32.6,93.0,18.6,0.20000000000000018,130,180,150,160,3,6.5,10.3
157,257,32.7,93.5,18.7,0.40000000000000036,130,180,150,160,3,6.5,10.3
158,258,32.8,94.0,18.8,0.6000000000000005,130,180,150,160,3,6.5,10.3
159,259,32.9,94.5,18.9,0.8000000000000007,130,180,150,160,3,6.5,10.3
160,260,33.0,95.0,19.0,1.0,130,180,150,160,3,6.5,10.3
161,261,33.1,95.5,19.1,1.2000000000000002,130,180,150,160,3,6.5,10.3
162,262,33.2,96.0,19.2,1.4000000000000004,130,180,150,160,3,6.5,10.3
163,263,33.3,96.5,19.3,1.6000000000000005,130,180,150,160,3,6.5,10.3
164,264,33.4,97.0,19.4,1.8000000000000007,130,180,150,160,3,6.5,10.3
165,265,33.5,97.5,19.5,2.0,130,180,150,160,3,6.5,10.3
166,266,33.6,98.0,19.6,2.2,130,180,150,160,3,6.5,10.3
167,267,33.7,98.5,19.7,2.4000000000000004,130,180,150,160,3,6.5,10.3
168,268,33.8,99.0,19.8,2.6000000000000005,130,180,150,160,3,6.5,10.3
169,269,33.9,99.5,19.9,2.8000000000000007,130,180,150,160,3,6.5,10.3
170,270,34.0,100.0,20.0,3.0,130,180,150,160,3,6.5,10.3
171,271,34.1,100.5,20.1,3.200000000000001,130,180,150,160,3,6.5,10.3
172,272,34.2,101.0,20.2,3.4000000000000004,130,180,150,160,3,6.5,10.3
173,273,34.3,101.5,20.3,3.5999999999999996,130,180,150,160,3,6.5,10.3
174,274,34.4,102.0,20.4,3.8000000000000007,130,180,150,160,3,6.5,10.3
175,275,34.5,102.5,20.5,4.0,130,180,150,160,3,6.5,10.3
176,276,34.6,103.0,20.6,4.200000000000001,130,180,150,160,3,6.5,10.3
177,277,34.7,103.5,20.7,4.4,130,180,150,160,3,6.5,10.3
178,278,34.8,104.0,20.8,4.600000000000001,130,180,150,160,3,6.5,10.3
179,279,34.9,104.5,20.9,4.800000000000001,130,180,150,160,3,6.5,10.3
180,280,35.0,105.0,21.0,5.0,130,180,150,160,3,6.5,10.3
181,281,35.1,105.5,21.1,5.200000000000001,130,180,150,160,3,6.5,10.3
182,282,35.2,106.0,21.2,5.4,130,180,150,160,3,6.5,10.3
183,283,35.3,106.5,21.3,5.600000000000001,130,180,150,160,3,6.5,10.3
184,284,35.4,107.0,21.4,5.800000000000001,130,180,150,160,3,6.5,10.3
185,285,35.5,107.5,21.5,6.0,130,180,150,160,3,6.5,10.3
186,286,35.6,108.0,21.6,6.200000000000001,130,180,150,160,3,6.5,10.3
187,287,35.7,108.5,21.7,6.4,130,180,150,160,3,6.5,10.3
188,288,35.8,109.0,21.8,6.600000000000001,130,180,150,160,3,6.5,10.3
189,289,35.9,109.5,21.9,6.800000000000001,130,180,150,160,3,6.5,10.3
190,290,36.0,110.0,22.0,7.0,130,180,150,160,3,6.5,10.3
191,291,36.1,110.5,22.1,7.200000000000001,130,180,150,160,3,6.5,10.3
192,292,36.2,111.0,22.2,7.4,130,180,150,160,3,6.5,10.3
193,293,36.3,111.5,22.3,7.600000000000001,130,180,150,160,3,6.5,10.3
194,294,36.4,112.0,22.4,7.800000000000001,130,180,150,160,3,6.5,10.3
195,295,36.5,112.5,22.5,8.0,130,180,150,160,3,6.5,10.3
196,296,36.6,113.0,22.6,8.200000000000001,130,180,150,160,3,6.5,10.3
197,297,36.7,113.5,22.7,8.4,130,180,150,160,3,6.5,10.3
198,298,36.8,114.0,22.8,8.600000000000001,130,180,150,160,3,6.5,10.3
199,299,36.9,114.5,22.9,8.8,130,180,150,160,3,6.5,10.3
200,300,37.0,115.0,23.0,9.0,130,180,150,160,3,6.5,10.3
201,301,37.1,115.5,23.1,9.200000000000001,130,180,150,160,3,6.5,10.3
202,302,37.2,116.0,23.2,9.4,130,180,150,160,3,6.5,10.3
203,303,37.3,116.5,23.3,9.600000000000001,130,180,150,160,3,6.5,10.3
204,304,37.4,117.0,23.4,9.8,130,180,150,160,3,6.5,10.3
205,305,37.5,117.5,23.5,10.0,130,180,150,160,3,6.5,10.3
206,306,37.6,118.0,23.6,10.200000000000001,130,180,150,160,3,6.5,10.3
207,307,37.7,118.5,23.7,10.4,130,180,150,160,3,6.5,10.3
208,308,37.8,119.0,23.8,10.600000000000001,130,180,150,160,3,6.5,10.3
209,309,37.9,119.5,23.9,10.8,130,180,150,160,3,6.5,10.3
210,310,38.0,120.0,24.0,11.0,130,180,150,160,3,6.5,10.3
211,311,38.1,120.5,24.1,11.2,130,180,150,160,3,6.5,10.3
212,312,38.2,121.0,24.200000000000003,11.400000000000002,130,180,150,160,3,6.5,10.3
213,313,38.3,121.5,24.3,11.600000000000001,130,180,150,160,3,6.5,10.3
214,314,38.4,122.0,24.4,11.8,130,180,150,160,3,6.5,10.3
215,315,38.5,122.5,24.5,12.0,130,180,150,160,3,6.5,10.3
216,316,38.6,123.0,24.6,12.2,130,180,150,160,3,6.5,10.3
217,317,38.7,123.5,24.700000000000003,12.400000000000002,130,180,150,160,3,6.5,10.3
218,318,38.8,124.0,24.8,12.600000000000001,130,180,150,160,3,6.5,10.3
219,319,38.9,124.5,24.9,12.8,130,180,150,160,3,6.5,10.3
220,320,39.0,125.0,25.0,13.0,130,180,150,160,3,6.5,10.3
221,321,39.1,125.5,25.1,13.2,130,180,150,160,3,6.5,10.3
222,322,39.2,126.0,25.200000000000003,13.400000000000002,130,180,150,160,3,6.5,10.3
223,323,39.3,126.5,25.3,13.600000000000001,130,180,150,160,3,6.5,10.3
224,324,39.4,127.0,25.4,13.8,130,180,150,160,3,6.5,10.3
225,325,39.5,127.5,25.5,14.0,130,180,150,160,3,6.5,10.3
