x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M,VMN (mV),IAB (mA)
140,240,40.0,90.0,18.0,0.0,140,190,160,170,4,7.0,10.4
141,241,40.1,90.5,18.1,0.2,140,190,160,170,4,7.0,10.4
142,242,40.2,91.0,18.2,0.4,140,190,160,170,4,7.0,10.4
143,243,40.3,91.5,18.3,0.6000000000000001,140,190,160,170,4,7.0,10.4
144,244,40.4,92.0,18.4,0.8,140,190,160,170,4,7.0,10.4
145,245,40.5,92.5,18.5,1.0,140,190,160,170,4,7.0,10.4
146,246,40.6,93.0,18.6,1.2000000000000002,140,190,160,170,4,7.0,10.4
147,247,40.7,93.5,18.7,1.4000000000000001,140,190,160,170,4,7.0,10.4
148,248,40.8,94.0,18.8,1.6,140,190,160,170,4,7.0,10.4
149,249,40.9,94.5,18.9,1.8,140,190,160,170,4,7.0,10.4
150,250,41.0,95.0,19.0,2.0,140,190,160,170,4,7.0,10.4
151,251,41.1,95.5,19.1,2.2,140,190,160,170,4,7.0,10.4
152,252,41.2,96.0,19.2,2.4000000000000004,140,190,160,170,4,7.0,10.4
153,253,41.3,96.5,19.3,2.6,140,190,160,170,4,7.0,10.4
154,254,41.4,97.0,19.4,2.8000000000000003,140,190,160,170,4,7.0,10.4
155,255,41.5,97.5,19.5,3.0,140,190,160,170,4,7.0,10.4
156,256,41.6,98.0,19.6,3.2,140,190,160,170,4,7.0,10.4
157,257,41.7,98.5,19.7,3.4000000000000004,140,190,160,170,4,7.0,10.4
158,258,41.8,99.0,19.8,3.6,140,190,160,170,4,7.0,10.4
159,259,41.9,99.5,19.9,3.8000000000000003,140,190,160,170,4,7.0,10.4
160,260,42.0,100.0,20.0,4.0,140,190,160,170,4,7.0,10.4
161,261,42.1,100.5,20.1,4.2,140,190,160,170,4,7.0,10.4
162,262,42.2,101.0,20.2,4.4,140,190,160,170,4,7.0,10.4
