x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M,VMN (mV),IAB (mA)
110,210,10.0,60.0,12.0,-15.0,110,160,130,140,1,5.5,10.1
111,211,10.1,60.5,12.1,-14.8,110,160,130,140,1,5.5,10.1
112,212,10.2,61.0,12.2,-14.6,110,160,130,140,1,5.5,10.1
113,213,10.3,61.5,12.3,-14.4,110,160,130,140,1,5.5,10.1
114,214,10.4,62.0,12.4,-14.2,110,160,130,140,1,5.5,10.1
115,215,10.5,62.5,12.5,-14.0,110,160,130,140,1,5.5,10.1
116,216,10.6,63.0,12.6,-13.8,110,160,130,140,1,5.5,10.1
117,217,10.7,63.5,12.7,-13.6,110,160,130,140,1,5.5,10.1
118,218,10.8,64.0,12.8,-13.4,110,160,130,140,1,5.5,10.1
119,219,10.9,64.5,12.9,-13.2,110,160,130,140,1,5.5,10.1
120,220,11.0,65.0,13.0,-13.0,110,160,130,140,1,5.5,10.1
121,221,11.1,65.5,13.1,-12.8,110,160,130,140,1,5.5,10.1
122,222,11.2,66.0,13.2,-12.6,110,160,130,140,1,5.5,10.1
123,223,11.3,66.5,13.3,-12.4,110,160,130,140,1,5.5,10.1
124,224,11.4,67.0,13.4,-12.2,110,160,130,140,1,5.5,10.1
125,225,11.5,67.5,13.5,-12.0,110,160,130,140,1,5.5,10.1
126,226,11.6,68.0,13.6,-11.8,110,160,130,140,1,5.5,10.1
127,227,11.7,68.5,13.7,-11.6,110,160,130,140,1,5.5,10.1
128,228,11.8,69.0,13.8,-11.4,110,160,130,140,1,5.5,10.1
129,229,11.9,69.5,13.9,-11.2,110,160,130,140,1,5.5,10.1
130,230,12.0,70.0,14.0,-11.0,110,160,130,140,1,5.5,10.1
131,231,12.1,70.5,14.1,-10.8,110,160,130,140,1,5.5,10.1
132,232,12.2,71.0,14.2,-10.6,110,160,130,140,1,5.5,10.1
133,233,12.3,71.5,14.3,-10.399999999999999,110,160,130,140,1,5.5,10.1
134,234,12.4,72.0,14.4,-10.2,110,160,130,140,1,5.5,10.1
135,235,12.5,72.5,14.5,-10.0,110,160,130,140,1,5.5,10.1
136,236,12.6,73.0,14.6,-9.8,110,160,130,140,1,5.5,10.1
137,237,12.7,73.5,14.7,-9.6,110,160,130,140,1,5.5,10.1
138,238,12.8,74.0,14.8,-9.399999999999999,110,160,130,140,1,5.5,10.1
139,239,12.9,74.5,14.9,-9.2,110,160,130,140,1,5.5,10.1
140,240,13.0,75.0,15.0,-9.0,110,160,130,140,1,5.5,10.1
141,241,13.1,75.5,15.1,-8.8,110,160,130,140,1,5.5,10.1
142,242,13.2,76.0,15.2,-8.6,110,160,130,140,1,5.5,10.1
143,243,13.3,76.5,15.3,-8.399999999999999,110,160,130,140,1,5.5,10.1
144,244,13.4,77.0,15.4,-8.2,110,160,130,140,1,5.5,10.1
145,245,13.5,77.5,15.5,-8.0,110,160,130,140,1,5.5,10.1
146,246,13.6,78.0,15.6,-7.8,110,160,130,140,1,5.5,10.1
147,247,13.7,78.5,15.7,-7.6,110,160,130,140,1,5.5,10.1
148,248,13.8,79.0,15.8,-7.3999999999999995,110,160,130,140,1,5.5,10.1
149,249,13.9,79.5,15.9,-7.199999999999999,110,160,130,140,1,5.5,10.1
150,250,14.0,80.0,16.0,-7.0,110,160,130,140,1,5.5,10.1
151,251,14.100000000000001,80.5,16.1,-6.799999999999999,110,160,130,140,1,5.5,10.1
152,252,14.2,81.0,16.2,-6.6,110,160,130,140,1,5.5,10.1
153,253,14.3,81.5,16.3,-6.4,110,160,130,140,1,5.5,10.1
154,254,14.4,82.0,16.4,-6.199999999999999,110,160,130,140,1,5.5,10.1
155,255,14.5,82.5,16.5,-6.0,110,160,130,140,1,5.5,10.1
156,256,14.600000000000001,83.0,16.6,-5.799999999999999,110,160,130,140,1,5.5,10.1
157,257,14.7,83.5,16.7,-5.6,110,160,130,140,1,5.5,10.1
158,258,14.8,84.0,16.8,-5.399999999999999,110,160,130,140,1,5.5,10.1
159,259,14.9,84.5,16.9,-5.199999999999999,110,160,130,140,1,5.5,10.1
160,260,15.0,85.0,17.0,-5.0,110,160,130,140,1,5.5,10.1
161,261,15.100000000000001,85.5,17.1,-4.799999999999999,110,160,130,140,1,5.5,10.1
162,262,15.2,86.0,17.2,-4.6,110,160,130,140,1,5.5,10.1
163,263,15.3,86.5,17.3,-4.399999999999999,110,160,130,140,1,5.5,10.1
164,264,15.4,87.0,17.4,-4.199999999999999,110,160,130,140,1,5.5,10.1
165,265,15.5,87.5,17.5,-4.0,110,160,130,140,1,5.5,10.1
166,266,15.600000000000001,88.0,17.6,-3.799999999999999,110,160,130,140,1,5.5,10.1
167,267,15.7,88.5,17.7,-3.5999999999999996,110,160,130,140,1,5.5,10.1
168,268,15.8,89.0,17.8,-3.3999999999999986,110,160,130,140,1,5.5,10.1
169,269,15.9,89.5,17.9,-3.1999999999999993,110,160,130,140,1,5.5,10.1
170,270,16.0,90.0,18.0,-3.0,110,160,130,140,1,5.5,10.1
171,271,16.1,90.5,18.1,-2.799999999999999,110,160,130,140,1,5.5,10.1
172,272,16.2,91.0,18.2,-2.5999999999999996,110,160,130,140,1,5.5,10.1
173,273,16.3,91.5,18.3,-2.3999999999999986,110,160,130,140,1,5.5,10.1
174,274,16.4,92.0,18.4,-2.1999999999999993,110,160,130,140,1,5.5,10.1
175,275,16.5,92.5,18.5,-2.0,110,160,130,140,1,5.5,10.1
176,276,16.6,93.0,18.6,-1.799999999999999,110,160,130,140,1,5.5,10.1
177,277,16.7,93.5,18.7,-1.5999999999999996,110,160,130,140,1,5.5,10.1
178,278,16.8,94.0,18.8,-1.3999999999999986,110,160,130,140,1,5.5,10.1
179,279,16.9,94.5,18.9,-1.1999999999999993,110,160,130,140,1,5.5,10.1
180,280,17.0,95.0,19.0,-1.0,110,160,130,140,1,5.5,10.1
181,281,17.1,95.5,19.1,-0.7999999999999989,110,160,130,140,1,5.5,10.1
182,282,17.2,96.0,19.2,-0.5999999999999996,110,160,130,140,1,5.5,10.1
183,283,17.3,96.5,19.3,-0.3999999999999986,110,160,130,140,1,5.5,10.1
184,284,17.4,97.0,19.4,-0.1999999999999993,110,160,130,140,1,5.5,10.1
185,285,17.5,97.5,19.5,0.0,110,160,130,140,1,5.5,10.1
186,286,17.6,98.0,19.6,0.20000000000000107,110,160,130,140,1,5.5,10.1
187,287,17.7,98.5,19.7,0.40000000000000036,110,160,130,140,1,5.5,10.1
188,288,17.8,99.0,19.8,0.6000000000000014,110,160,130,140,1,5.5,10.1
189,289,17.9,99.5,19.9,0.8000000000000007,110,160,130,140,1,5.5,10.1
190,290,18.0,100.0,20.0,1.0,110,160,130,140,1,5.5,10.1
191,291,18.1,100.5,20.1,1.1999999999999993,110,160,130,140,1,5.5,10.1
192,292,18.200000000000003,101.0,20.200000000000003,1.4000000000000021,110,160,130,140,1,5.5,10.1
193,293,18.3,101.5,20.3,1.6000000000000014,110,160,130,140,1,5.5,10.1
194,294,18.4,102.0,20.4,1.8000000000000007,110,160,130,140,1,5.5,10.1
195,295,18.5,102.5,20.5,2.0,110,160,130,140,1,5.5,10.1
196,296,18.6,103.0,20.6,2.1999999999999993,110,160,130,140,1,5.5,10.1
197,297,18.700000000000003,103.5,20.700000000000003,2.400000000000002,110,160,130,140,1,5.5,10.1
198,298,18.8,104.0,20.8,2.6000000000000014,110,160,130,140,1,5.5,10.1
199,299,18.9,104.5,20.9,2.8000000000000007,110,160,130,140,1,5.5,10.1
200,300,19.0,105.0,21.0,3.0,110,160,130,140,1,5.5,10.1
201,301,19.1,105.5,21.1,3.1999999999999993,110,160,130,140,1,5.5,10.1
202,302,19.200000000000003,106.0,21.200000000000003,3.400000000000002,110,160,130,140,1,5.5,10.1
203,303,19.3,106.5,21.3,3.6000000000000014,110,160,130,140,1,5.5,10.1
204,304,19.4,107.0,21.4,3.8000000000000007,110,160,130,140,1,5.5,10.1
205,305,19.5,107.5,21.5,4.0,110,160,130,140,1,5.5,10.1
206,306,19.6,108.0,21.6,4.200000000000003,110,160,130,140,1,5.5,10.1
207,307,19.700000000000003,108.5,21.700000000000003,4.400000000000002,110,160,130,140,1,5.5,10.1
208,308,19.8,109.0,21.8,4.600000000000001,110,160,130,140,1,5.5,10.1
209,309,19.9,109.5,21.9,4.800000000000001,110,160,130,140,1,5.5,10.1
