x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M,VMN (mV),IAB (mA)
120,220,20.0,70.0,14.0,-10.0,120,170,140,150,2,6.0,10.2
121,221,20.1,70.5,14.1,-9.8,120,170,140,150,2,6.0,10.2
122,222,20.2,71.0,14.2,-9.6,120,170,140,150,2,6.0,10.2
123,223,20.3,71.5,14.3,-9.4,120,170,140,150,2,6.0,10.2
124,224,20.4,72.0,14.4,-9.2,120,170,140,150,2,6.0,10.2
125,225,20.5,72.5,14.5,-9.0,120,170,140,150,2,6.0,10.2
126,226,20.6,73.0,14.6,-8.8,120,170,140,150,2,6.0,10.2
127,227,20.7,73.5,14.7,-8.6,120,170,140,150,2,6.0,10.2
128,228,20.8,74.0,14.8,-8.4,120,170,140,150,2,6.0,10.2
129,229,20.9,74.5,14.9,-8.2,120,170,140,150,2,6.0,10.2
130,230,21.0,75.0,15.0,-8.0,120,170,140,150,2,6.0,10.2
131,231,21.1,75.5,15.1,-7.8,120,170,140,150,2,6.0,10.2
132,232,21.2,76.0,15.2,-7.6,120,170,140,150,2,6.0,10.2
133,233,21.3,76.5,15.3,-7.4,120,170,140,150,2,6.0,10.2
134,234,21.4,77.0,15.4,-7.199999999999999,120,170,140,150,2,6.0,10.2
135,235,21.5,77.5,15.5,-7.0,120,170,140,150,2,6.0,10.2
136,236,21.6,78.0,15.6,-6.8,120,170,140,150,2,6.0,10.2
137,237,21.7,78.5,15.7,-6.6,120,170,140,150,2,6.0,10.2
138,238,21.8,79.0,15.8,-6.4,120,170,140,150,2,6.0,10.2
139,239,21.9,79.5,15.9,-6.199999999999999,120,170,140,150,2,6.0,10.2
140,240,22.0,80.0,16.0,-6.0,120,170,140,150,2,6.0,10.2
141,241,22.1,80.5,16.1,-5.8,120,170,140,150,2,6.0,10.2
142,242,22.2,81.0,16.2,-5.6,120,170,140,150,2,6.0,10.2
143,243,22.3,81.5,16.3,-5.3999999999999995,120,170,140,150,2,6.0,10.2
144,244,22.4,82.0,16.4,-5.199999999999999,120,170,140,150,2,6.0,10.2
145,245,22.5,82.5,16.5,-5.0,120,170,140,150,2,6.0,10.2
146,246,22.6,83.0,16.6,-4.8,120,170,140,150,2,6.0,10.2
147,247,22.7,83.5,16.7,-4.6,120,170,140,150,2,6.0,10.2
148,248,22.8,84.0,16.8,-4.3999999999999995,120,170,140,150,2,6.0,10.2
149,249,22.9,84.5,16.9,-4.199999999999999,120,170,140,150,2,6.0,10.2
150,250,23.0,85.0,17.0,-4.0,120,170,140,150,2,6.0,10.2
151,251,23.1,85.5,17.1,-3.8,120,170,140,150,2,6.0,10.2
152,252,23.2,86.0,17.2,-3.5999999999999996,120,170,140,150,2,6.0,10.2
153,253,23.3,86.5,17.3,-3.3999999999999995,120,170,140,150,2,6.0,10.2
154,254,23.4,87.0,17.4,-3.1999999999999993,120,170,140,150,2,6.0,10.2
155,255,23.5,87.5,17.5,-3.0,120,170,140,150,2,6.0,10.2
156,256,23.6,88.0,17.6,-2.8,120,170,140,150,2,6.0,10.2
157,257,23.7,88.5,17.7,-2.5999999999999996,120,170,140,150,2,6.0,10.2
158,258,23.8,89.0,17.8,-2.3999999999999995,120,170,140,150,2,6.0,10.2
159,259,23.9,89.5,17.9,-2.1999999999999993,120,170,140,150,2,6.0,10.2
160,260,24.0,90.0,18.0,-2.0,120,170,140,150,2,6.0,10.2
161,261,24.1,90.5,18.1,-1.799999999999999,120,170,140,150,2,6.0,10.2
162,262,24.2,91.0,18.2,-1.5999999999999996,120,170,140,150,2,6.0,10.2
163,263,24.3,91.5,18.3,-1.4000000000000004,120,170,140,150,2,6.0,10.2
164,264,24.4,92.0,18.4,-1.1999999999999993,120,170,140,150,2,6.0,10.2
165,265,24.5,92.5,18.5,-1.0,120,170,140,150,2,6.0,10.2
166,266,24.6,93.0,18.6,-0.7999999999999989,120,170,140,150,2,6.0,10.2
167,267,24.7,93.5,18.7,-0.5999999999999996,120,170,140,150,2,6.0,10.2
168,268,24.8,94.0,18.8,-0.3999999999999986,120,170,140,150,2,6.0,10.2
169,269,24.9,94.5,18.9,-0.1999999999999993,120,170,140,150,2,6.0,10.2
170,270,25.0,95.0,19.0,0.0,120,170,140,150,2,6.0,10.2
171,271,25.1,95.5,19.1,0.20000000000000107,120,170,140,150,2,6.0,10.2
172,272,25.2,96.0,19.2,0.40000000000000036,120,170,140,150,2,6.0,10.2
173,273,25.3,96.5,19.3,0.6000000000000014,120,170,140,150,2,6.0,10.2
174,274,25.4,97.0,19.4,0.8000000000000007,120,170,140,150,2,6.0,10.2
175,275,25.5,97.5,19.5,1.0,120,170,140,150,2,6.0,10.2
176,276,25.6,98.0,19.6,1.200000000000001,120,170,140,150,2,6.0,10.2
177,277,25.7,98.5,19.7,1.4000000000000004,120,170,140,150,2,6.0,10.2
178,278,25.8,99.0,19.8,1.6000000000000014,120,170,140,150,2,6.0,10.2
179,279,25.9,99.5,19.9,1.8000000000000007,120,170,140,150,2,6.0,10.2
180,280,26.0,100.0,20.0,2.0,120,170,140,150,2,6.0,10.2
181,281,26.1,100.5,20.1,2.200000000000001,120,170,140,150,2,6.0,10.2
182,282,26.2,101.0,20.2,2.4000000000000004,120,170,140,150,2,6.0,10.2
183,283,26.3,101.5,20.3,2.6000000000000014,120,170,140,150,2,6.0,10.2
184,284,26.4,102.0,20.4,2.8000000000000007,120,170,140,150,2,6.0,10.2
185,285,26.5,102.5,20.5,3.0,120,170,140,150,2,6.0,10.2
186,286,26.6,103.0,20.6,3.200000000000001,120,170,140,150,2,6.0,10.2
187,287,26.7,103.5,20.7,3.4000000000000004,120,170,140,150,2,6.0,10.2
188,288,26.8,104.0,20.8,3.6000000000000014,120,170,140,150,2,6.0,10.2
189,289,26.9,104.5,20.9,3.8000000000000007,120,170,140,150,2,6.0,10.2
190,290,27.0,105.0,21.0,4.0,120,170,140,150,2,6.0,10.2
191,291,27.1,105.5,21.1,4.200000000000001,120,170,140,150,2,6.0,10.2
192,292,27.2,106.0,21.2,4.4,120,170,140,150,2,6.0,10.2
193,293,27.3,106.5,21.3,4.600000000000001,120,170,140,150,2,6.0,10.2
194,294,27.4,107.0,21.4,4.800000000000001,120,170,140,150,2,6.0,10.2
195,295,27.5,107.5,21.5,5.0,120,170,140,150,2,6.0,10.2
196,296,27.6,108.0,21.6,5.200000000000001,120,170,140,150,2,6.0,10.2
197,297,27.7,108.5,21.7,5.4,120,170,140,150,2,6.0,10.2
198,298,27.8,109.0,21.8,5.600000000000001,120,170,140,150,2,6.0,10.2
199,299,27.9,109.5,21.9,5.800000000000001,120,170,140,150,2,6.0,10.2
200,300,28.0,110.0,22.0,6.0,120,170,140,150,2,6.0,10.2
201,301,28.1,110.5,22.1,6.199999999999999,120,170,140,150,2,6.0,10.2
202,302,28.200000000000003,111.0,22.200000000000003,6.400000000000002,120,170,140,150,2,6.0,10.2
203,303,28.3,111.5,22.3,6.600000000000001,120,170,140,150,2,6.0,10.2
204,304,28.4,112.0,22.4,6.800000000000001,120,170,140,150,2,6.0,10.2
205,305,28.5,112.5,22.5,7.0,120,170,140,150,2,6.0,10.2
